label,night_avg,total_avg,gaming_ratio,social_ratio,weekend_ratio
Sıkı Oyuncu,31.15,137.76,0.541,0.168,1.119
Sıkı Oyuncu,26.23,177.71,0.510,0.202,0.989
Sıkı Oyuncu,19.91,143.21,0.545,0.193,0.955
Sıkı Oyuncu,20.06,102.91,0.752,0.232,0.969
Sıkı Oyuncu,28.97,146.94,0.703,0.199,1.113
Sıkı Oyuncu,27.07,228.74,0.517,0.174,1.004
Sıkı Oyuncu,12.46,150.99,0.511,0.184,0.916
Sıkı Oyuncu,23.99,141.60,0.464,0.173,1.014
Sıkı Oyuncu,28.21,169.25,0.489,0.157,0.934
Sıkı Oyuncu,19.37,147.91,0.739,0.180,0.972
Sıkı Oyuncu,26.27,190.40,0.559,0.200,1.058
Sıkı Oyuncu,21.07,153.39,0.355,0.152,0.977
Sıkı Oyuncu,24.64,174.71,0.648,0.129,0.993
Sıkı Oyuncu,14.91,196.44,0.498,0.262,0.993
Sıkı Oyuncu,26.29,173.96,0.695,0.224,1.028
Sıkı Oyuncu,31.02,139.32,0.514,0.190,0.940
Sıkı Oyuncu,28.26,199.03,0.625,0.156,0.947
Sıkı Oyuncu,24.28,149.15,0.552,0.155,1.073
Sıkı Oyuncu,24.72,142.37,0.637,0.223,1.031
Sıkı Oyuncu,27.09,211.32,0.545,0.169,1.192
Sıkı Oyuncu,43.15,170.37,0.497,0.201,1.078
Sıkı Oyuncu,31.47,228.00,0.560,0.168,1.136
Sıkı Oyuncu,35.61,197.96,0.599,0.192,0.997
Sıkı Oyuncu,16.03,188.30,0.674,0.220,0.995
Sıkı Oyuncu,33.49,198.71,0.564,0.097,1.076
Sıkı Oyuncu,20.14,126.96,0.628,0.191,0.907
Sıkı Oyuncu,38.60,217.52,0.585,0.163,1.135
Sıkı Oyuncu,24.77,211.74,0.578,0.317,1.073
Sıkı Oyuncu,31.19,112.80,0.422,0.128,1.061
Sıkı Oyuncu,23.69,221.02,0.640,0.119,1.066
Sıkı Oyuncu,29.87,167.65,0.423,0.164,0.917
Sıkı Oyuncu,21.59,164.35,0.534,0.159,1.123
Sıkı Oyuncu,13.28,152.52,0.579,0.191,1.048
Sıkı Oyuncu,15.48,138.83,0.581,0.202,1.037
Sıkı Oyuncu,36.68,154.17,0.681,0.136,1.087
Sıkı Oyuncu,22.69,153.00,0.577,0.139,1.029
Sıkı Oyuncu,18.73,165.09,0.612,0.246,0.975
Sıkı Oyuncu,32.07,169.83,0.443,0.114,1.028
Sıkı Oyuncu,36.17,175.04,0.576,0.165,0.965
Sıkı Oyuncu,26.61,157.91,0.435,0.113,1.192
Sıkı Oyuncu,29.91,223.80,0.687,0.082,1.022
Sıkı Oyuncu,31.94,165.13,0.477,0.210,0.963
Sıkı Oyuncu,14.44,164.83,0.627,0.101,1.086
Sıkı Oyuncu,39.63,226.45,0.561,0.139,1.135
Sıkı Oyuncu,18.18,172.58,0.577,0.254,1.031
Sıkı Oyuncu,29.62,145.37,0.464,0.178,1.125
Sıkı Oyuncu,29.70,204.84,0.682,0.156,1.079
Sıkı Oyuncu,36.12,164.76,0.558,0.233,1.049
Sıkı Oyuncu,23.53,142.70,0.582,0.172,1.049
Sıkı Oyuncu,29.58,208.82,0.509,0.199,0.990
Sıkı Oyuncu,36.59,142.46,0.547,0.124,0.989
Sıkı Oyuncu,26.82,163.64,0.658,0.139,1.221
Sıkı Oyuncu,27.55,206.45,0.656,0.185,0.998
Sıkı Oyuncu,35.32,139.34,0.713,0.087,0.933
Sıkı Oyuncu,31.71,131.26,0.548,0.053,0.953
Sıkı Oyuncu,34.79,202.70,0.480,0.268,0.920
Sıkı Oyuncu,37.38,69.37,0.607,0.106,1.057
Sıkı Oyuncu,23.32,150.30,0.586,0.147,1.085
Sıkı Oyuncu,35.14,206.25,0.551,0.221,1.078
Sıkı Oyuncu,14.91,214.74,0.478,0.216,1.033
Sıkı Oyuncu,25.66,161.28,0.473,0.149,1.072
Sıkı Oyuncu,24.13,143.52,0.576,0.112,0.948
Sıkı Oyuncu,31.02,188.16,0.741,0.203,1.068
Sıkı Oyuncu,26.73,194.67,0.641,0.142,1.019
Sıkı Oyuncu,27.68,166.61,0.524,0.102,1.035
Sıkı Oyuncu,26.11,112.14,0.557,0.255,1.072
Sıkı Oyuncu,18.41,143.39,0.618,0.159,1.067
Sıkı Oyuncu,16.62,143.46,0.539,0.242,1.135
Sıkı Oyuncu,24.89,175.40,0.452,0.235,1.006
Sıkı Oyuncu,28.16,197.77,0.518,0.165,1.175
Sıkı Oyuncu,30.25,169.32,0.507,0.138,1.118
Sıkı Oyuncu,26.57,93.10,0.468,0.104,0.946
Sıkı Oyuncu,26.11,177.63,0.550,0.170,1.041
Sıkı Oyuncu,22.87,141.02,0.507,0.111,1.030
Sıkı Oyuncu,38.50,217.12,0.389,0.185,1.033
Sıkı Oyuncu,12.77,173.43,0.488,0.119,1.038
Sıkı Oyuncu,17.58,167.87,0.619,0.208,0.934
Sıkı Oyuncu,27.08,194.70,0.537,0.108,1.120
Sıkı Oyuncu,34.40,243.38,0.536,0.190,0.963
Sıkı Oyuncu,15.44,224.30,0.468,0.116,0.894
Sıkı Oyuncu,14.11,171.18,0.494,0.215,1.081
Sıkı Oyuncu,25.44,181.20,0.371,0.171,1.119
Sıkı Oyuncu,26.15,169.30,0.507,0.198,0.855
Sıkı Oyuncu,28.64,163.52,0.569,0.180,1.070
Sıkı Oyuncu,37.27,191.33,0.453,0.240,1.122
Sıkı Oyuncu,26.72,80.45,0.632,0.143,1.174
Sıkı Oyuncu,18.37,196.71,0.635,0.172,1.064
Sıkı Oyuncu,30.76,138.61,0.456,0.252,1.261
Sıkı Oyuncu,41.56,175.48,0.596,0.165,1.074
Sıkı Oyuncu,13.60,195.07,0.617,0.152,0.957
Sıkı Oyuncu,41.48,174.96,0.795,0.159,1.127
Sıkı Oyuncu,22.05,192.42,0.447,0.211,1.136
Sıkı Oyuncu,22.22,165.96,0.543,0.230,1.031
Sıkı Oyuncu,29.63,152.35,0.622,0.164,1.130
Sıkı Oyuncu,30.88,189.05,0.618,0.208,0.919
Sıkı Oyuncu,43.24,140.58,0.532,0.243,1.032
Sıkı Oyuncu,27.90,203.96,0.604,0.179,1.136
Sıkı Oyuncu,27.29,121.62,0.445,0.164,0.891
Sıkı Oyuncu,25.49,158.78,0.617,0.236,1.045
Sıkı Oyuncu,21.48,111.50,0.537,0.235,1.053
Sıkı Oyuncu,26.19,182.33,0.431,0.247,1.044
Sıkı Oyuncu,29.52,196.43,0.485,0.139,1.024
Sıkı Oyuncu,15.67,149.60,0.494,0.180,0.999
Sıkı Oyuncu,20.53,240.79,0.539,0.194,1.158
Sıkı Oyuncu,21.88,191.79,0.518,0.141,1.150
Sıkı Oyuncu,27.37,164.76,0.496,0.171,1.168
Sıkı Oyuncu,28.82,195.66,0.704,0.267,0.979
Sıkı Oyuncu,18.07,156.19,0.508,0.256,0.971
Sıkı Oyuncu,25.22,160.31,0.531,0.203,1.111
Sıkı Oyuncu,30.86,195.61,0.550,0.131,1.021
Sıkı Oyuncu,22.88,174.94,0.537,0.134,1.036
Sıkı Oyuncu,33.12,191.62,0.613,0.229,1.028
Sıkı Oyuncu,30.83,181.26,0.619,0.160,1.355
Sıkı Oyuncu,36.56,176.66,0.542,0.182,0.932
Sıkı Oyuncu,17.14,206.18,0.496,0.182,1.075
Sıkı Oyuncu,26.77,185.13,0.649,0.197,1.058
Sıkı Oyuncu,31.27,171.93,0.640,0.181,1.171
Sıkı Oyuncu,26.60,145.95,0.454,0.119,0.941
Sıkı Oyuncu,25.06,150.90,0.634,0.269,1.077
Sıkı Oyuncu,18.79,164.70,0.484,0.157,1.020
Sıkı Oyuncu,41.55,139.32,0.607,0.221,1.137
Sıkı Oyuncu,31.11,188.69,0.618,0.205,0.951
Sıkı Oyuncu,28.12,205.26,0.499,0.140,0.943
Sıkı Oyuncu,26.08,116.60,0.327,0.183,1.144
Sıkı Oyuncu,27.42,195.64,0.577,0.181,0.977
Sıkı Oyuncu,22.29,142.38,0.473,0.286,0.987
Sıkı Oyuncu,33.17,142.07,0.560,0.245,1.112
Sıkı Oyuncu,24.32,239.22,0.459,0.224,1.106
Sıkı Oyuncu,18.81,148.73,0.520,0.154,1.072
Sıkı Oyuncu,27.49,225.83,0.531,0.204,1.070
Sıkı Oyuncu,25.16,166.50,0.402,0.214,1.047
Sıkı Oyuncu,31.35,137.59,0.579,0.125,1.029
Sıkı Oyuncu,36.60,199.60,0.390,0.188,1.119
Sıkı Oyuncu,26.89,145.18,0.475,0.195,1.076
Sıkı Oyuncu,26.63,137.66,0.528,0.218,0.963
Sıkı Oyuncu,27.88,136.46,0.610,0.236,1.073
Sıkı Oyuncu,29.01,118.11,0.407,0.218,1.114
Sıkı Oyuncu,26.18,184.43,0.476,0.178,1.123
Sıkı Oyuncu,24.52,150.08,0.486,0.076,0.900
Sıkı Oyuncu,27.10,176.75,0.518,0.179,0.981
Sıkı Oyuncu,38.44,170.11,0.616,0.152,0.978
Sıkı Oyuncu,25.56,186.65,0.544,0.220,1.015
Sıkı Oyuncu,24.81,180.66,0.536,0.092,0.874
Sıkı Oyuncu,19.77,135.19,0.422,0.186,1.161
Sıkı Oyuncu,33.09,184.38,0.492,0.085,0.950
Sıkı Oyuncu,29.76,191.76,0.598,0.159,0.979
Sıkı Oyuncu,23.90,188.14,0.593,0.228,1.016
Sıkı Oyuncu,23.97,117.02,0.576,0.182,0.925
Sıkı Oyuncu,33.67,156.89,0.531,0.261,0.945
Sıkı Oyuncu,29.38,138.56,0.488,0.215,0.978
Sıkı Oyuncu,35.52,113.64,0.415,0.169,1.054
Sıkı Oyuncu,26.77,114.71,0.526,0.279,1.146
Sıkı Oyuncu,34.79,151.01,0.641,0.147,1.173
Sıkı Oyuncu,23.54,94.55,0.546,0.170,1.124
Sıkı Oyuncu,24.11,201.76,0.563,0.162,1.018
Sıkı Oyuncu,24.04,188.61,0.693,0.207,1.098
Sıkı Oyuncu,28.20,167.98,0.544,0.177,0.930
Sıkı Oyuncu,26.48,179.62,0.559,0.227,1.159
Sıkı Oyuncu,14.52,196.10,0.429,0.295,0.999
Sıkı Oyuncu,25.31,196.55,0.671,0.111,1.070
Sıkı Oyuncu,16.78,186.90,0.497,0.199,1.090
Sıkı Oyuncu,33.16,147.95,0.467,0.150,1.063
Sıkı Oyuncu,31.67,142.14,0.507,0.174,1.183
Sıkı Oyuncu,18.34,171.92,0.407,0.215,1.149
Sıkı Oyuncu,24.85,141.88,0.464,0.203,0.941
Sıkı Oyuncu,35.36,172.36,0.569,0.211,1.013
Sıkı Oyuncu,25.99,126.75,0.532,0.207,1.080
Sıkı Oyuncu,27.94,106.27,0.566,0.264,1.096
Sıkı Oyuncu,30.32,158.02,0.543,0.240,1.173
Sıkı Oyuncu,28.20,151.49,0.569,0.207,1.165
Sıkı Oyuncu,29.33,175.60,0.509,0.074,0.974
Sıkı Oyuncu,33.53,159.85,0.524,0.148,0.983
Sıkı Oyuncu,33.27,159.53,0.472,0.174,1.162
Sıkı Oyuncu,29.49,145.68,0.648,0.198,1.092
Sıkı Oyuncu,19.79,197.11,0.512,0.105,0.995
Sıkı Oyuncu,25.75,166.39,0.579,0.236,1.158
Sıkı Oyuncu,31.72,197.24,0.592,0.122,0.959
Sıkı Oyuncu,21.83,187.96,0.467,0.118,0.986
Sıkı Oyuncu,25.77,172.08,0.586,0.125,0.969
Sıkı Oyuncu,21.69,219.08,0.642,0.209,1.098
Sıkı Oyuncu,34.22,155.83,0.544,0.110,0.977
Sıkı Oyuncu,25.49,215.39,0.590,0.199,1.088
Sıkı Oyuncu,19.28,177.32,0.578,0.173,0.988
Sıkı Oyuncu,19.57,211.24,0.422,0.188,1.146
Sıkı Oyuncu,35.18,126.95,0.559,0.205,1.165
Sıkı Oyuncu,26.01,185.22,0.429,0.184,1.007
Sıkı Oyuncu,16.75,107.68,0.466,0.175,0.937
Sıkı Oyuncu,17.24,173.10,0.492,0.157,1.177
Sıkı Oyuncu,24.99,198.13,0.633,0.157,0.986
Sıkı Oyuncu,20.93,164.13,0.557,0.240,1.155
Sıkı Oyuncu,26.51,138.48,0.399,0.152,1.175
Sıkı Oyuncu,25.37,154.42,0.795,0.130,1.164
Sıkı Oyuncu,16.35,194.47,0.541,0.159,0.993
Sıkı Oyuncu,24.56,179.27,0.637,0.153,1.017
Sıkı Oyuncu,22.04,212.18,0.550,0.159,0.904
Sıkı Oyuncu,29.87,181.99,0.546,0.115,1.026
Sıkı Oyuncu,23.50,147.78,0.553,0.238,1.124
Sıkı Oyuncu,40.34,150.32,0.691,0.204,1.173
Sıkı Oyuncu,21.46,129.31,0.633,0.207,0.935
Sıkı Oyuncu,19.88,163.60,0.540,0.128,1.143
Sıkı Oyuncu,31.04,174.12,0.543,0.201,1.035
Sıkı Oyuncu,23.32,168.47,0.563,0.182,1.053
Sıkı Oyuncu,25.40,166.40,0.680,0.215,0.986
Sıkı Oyuncu,30.56,151.13,0.594,0.153,0.952
Sıkı Oyuncu,16.02,121.57,0.522,0.230,0.967
Sıkı Oyuncu,21.95,151.26,0.631,0.231,1.160
Sıkı Oyuncu,38.52,131.50,0.491,0.149,1.087
Sıkı Oyuncu,26.89,126.65,0.432,0.148,1.024
Sıkı Oyuncu,27.08,165.34,0.547,0.146,0.933
Sıkı Oyuncu,31.85,118.22,0.342,0.316,0.994
Sıkı Oyuncu,31.61,191.40,0.633,0.224,1.089
Sıkı Oyuncu,19.29,171.69,0.530,0.140,1.022
Sıkı Oyuncu,30.34,136.57,0.526,0.110,1.205
Sıkı Oyuncu,43.22,166.19,0.598,0.183,0.998
Sıkı Oyuncu,28.56,192.54,0.534,0.186,1.135
Sıkı Oyuncu,31.28,220.31,0.564,0.114,0.921
Sıkı Oyuncu,30.99,174.19,0.470,0.162,1.134
Sıkı Oyuncu,34.74,139.38,0.554,0.157,1.009
Sıkı Oyuncu,20.45,200.69,0.704,0.108,0.938
Sıkı Oyuncu,23.78,151.23,0.439,0.182,1.016
Sıkı Oyuncu,34.39,156.54,0.586,0.210,1.075
Sıkı Oyuncu,31.68,128.18,0.554,0.097,1.123
Sıkı Oyuncu,22.40,173.27,0.625,0.139,1.063
Sıkı Oyuncu,26.57,141.42,0.526,0.117,1.126
Sıkı Oyuncu,24.34,179.06,0.526,0.214,0.995
Sıkı Oyuncu,29.25,192.55,0.371,0.166,1.077
Sıkı Oyuncu,20.96,183.08,0.353,0.164,0.979
Sıkı Oyuncu,33.87,174.15,0.516,0.261,1.097
Sıkı Oyuncu,24.04,209.09,0.493,0.237,1.122
Sıkı Oyuncu,27.36,185.43,0.420,0.171,1.148
Sıkı Oyuncu,38.80,187.85,0.533,0.217,1.044
Sıkı Oyuncu,31.82,193.42,0.541,0.213,0.934
Sıkı Oyuncu,13.79,161.82,0.612,0.085,1.089
Sıkı Oyuncu,35.68,211.34,0.597,0.191,1.046
Sıkı Oyuncu,27.80,135.41,0.539,0.113,1.079
Sıkı Oyuncu,39.23,222.44,0.490,0.182,0.866
Sıkı Oyuncu,29.16,176.87,0.475,0.181,1.175
Sıkı Oyuncu,30.42,169.69,0.587,0.117,0.994
Sıkı Oyuncu,27.98,206.70,0.572,0.170,0.944
Sıkı Oyuncu,32.39,180.42,0.522,0.156,1.084
Sıkı Oyuncu,23.75,191.42,0.563,0.175,1.154
Sıkı Oyuncu,18.10,184.20,0.360,0.190,1.116
Sıkı Oyuncu,33.79,165.32,0.611,0.188,1.059
Sıkı Oyuncu,23.71,184.49,0.601,0.168,0.988
Sıkı Oyuncu,20.17,182.10,0.452,0.185,1.101
Sıkı Oyuncu,34.57,225.96,0.573,0.110,0.964
Sıkı Oyuncu,31.73,160.54,0.528,0.181,1.108
Sıkı Oyuncu,29.67,162.67,0.585,0.078,0.996
Sıkı Oyuncu,26.64,172.45,0.432,0.121,1.102
Sıkı Oyuncu,29.44,201.68,0.481,0.241,0.970
Sıkı Oyuncu,30.43,143.58,0.578,0.141,0.953
Sıkı Oyuncu,38.11,122.55,0.520,0.197,1.128
Sıkı Oyuncu,19.03,221.75,0.530,0.203,0.943
Sıkı Oyuncu,33.67,155.58,0.469,0.150,1.087
Sıkı Oyuncu,29.47,172.25,0.462,0.156,1.034
Sıkı Oyuncu,19.07,117.63,0.569,0.138,0.977
Sıkı Oyuncu,30.52,194.39,0.515,0.249,0.845
Sıkı Oyuncu,38.14,189.45,0.519,0.227,0.950
Sıkı Oyuncu,25.96,198.97,0.525,0.162,1.064
Sıkı Oyuncu,33.14,194.02,0.596,0.143,1.093
Sıkı Oyuncu,35.00,174.24,0.470,0.179,1.029
Sıkı Oyuncu,25.73,167.05,0.570,0.247,1.146
Sıkı Oyuncu,24.62,212.97,0.570,0.185,1.222
Sıkı Oyuncu,26.02,147.10,0.531,0.102,1.197
Sıkı Oyuncu,30.28,137.93,0.548,0.239,1.288
Sıkı Oyuncu,19.61,107.56,0.562,0.063,0.958
Sıkı Oyuncu,20.34,181.56,0.475,0.201,0.907
Sıkı Oyuncu,29.08,201.70,0.470,0.135,1.125
Sıkı Oyuncu,18.18,160.95,0.402,0.162,1.134
Sıkı Oyuncu,31.12,160.18,0.517,0.208,1.043
Sıkı Oyuncu,31.15,164.58,0.537,0.128,0.959
Sıkı Oyuncu,37.50,223.24,0.513,0.156,1.035
Sıkı Oyuncu,29.33,173.99,0.610,0.213,1.074
Sıkı Oyuncu,34.59,134.09,0.589,0.171,1.060
Sıkı Oyuncu,34.81,193.18,0.454,0.225,0.920
Sıkı Oyuncu,23.56,182.82,0.486,0.221,1.038
Sıkı Oyuncu,25.02,212.50,0.631,0.051,1.075
Sıkı Oyuncu,37.60,115.11,0.508,0.198,1.095
Sıkı Oyuncu,33.36,150.40,0.518,0.180,1.069
Sıkı Oyuncu,29.28,173.74,0.519,0.165,0.947
Sıkı Oyuncu,30.26,182.80,0.600,0.145,1.111
Sıkı Oyuncu,32.18,169.25,0.510,0.086,1.051
Sıkı Oyuncu,26.60,189.74,0.601,0.137,1.131
Sıkı Oyuncu,25.76,182.72,0.636,0.131,0.989
Sıkı Oyuncu,22.55,162.86,0.519,0.106,1.060
Sıkı Oyuncu,28.64,188.57,0.635,0.128,1.075
Sıkı Oyuncu,36.66,148.86,0.568,0.178,0.982
Sıkı Oyuncu,38.19,166.07,0.500,0.303,1.195
Sıkı Oyuncu,25.75,165.49,0.706,0.232,1.014
Sıkı Oyuncu,24.43,139.50,0.425,0.196,1.050
Sıkı Oyuncu,26.24,170.09,0.464,0.192,0.966
Sıkı Oyuncu,27.22,131.62,0.505,0.206,1.046
Sıkı Oyuncu,16.14,152.44,0.466,0.165,1.049
Sıkı Oyuncu,23.88,179.98,0.523,0.199,1.088
Sıkı Oyuncu,25.28,185.39,0.629,0.145,1.072
Sıkı Oyuncu,21.50,188.71,0.409,0.177,1.082
Sıkı Oyuncu,34.46,219.08,0.588,0.123,1.009
Sıkı Oyuncu,35.95,174.43,0.542,0.123,1.053
Sıkı Oyuncu,28.68,164.59,0.618,0.169,1.196
Sıkı Oyuncu,37.60,168.35,0.592,0.135,1.154
Sıkı Oyuncu,33.47,171.98,0.532,0.216,1.033
Sıkı Oyuncu,17.65,209.08,0.439,0.265,0.915
Sıkı Oyuncu,29.43,213.21,0.632,0.230,1.081
Sıkı Oyuncu,27.99,169.60,0.580,0.132,1.095
Sıkı Oyuncu,16.72,171.89,0.485,0.107,0.978
Sıkı Oyuncu,23.66,158.91,0.607,0.200,1.090
Sıkı Oyuncu,27.74,200.20,0.402,0.210,1.133
Sıkı Oyuncu,27.89,187.90,0.516,0.152,1.211
Sıkı Oyuncu,28.83,135.75,0.645,0.176,1.083
Sıkı Oyuncu,30.95,85.37,0.570,0.310,1.164
Sıkı Oyuncu,31.87,234.85,0.650,0.181,0.988
Sıkı Oyuncu,27.07,134.06,0.497,0.132,1.126
Sıkı Oyuncu,37.98,192.68,0.622,0.223,0.997
Sıkı Oyuncu,29.30,156.63,0.620,0.224,0.985
Sıkı Oyuncu,40.91,165.18,0.598,0.170,1.086
Sıkı Oyuncu,19.91,135.65,0.543,0.213,1.117
Sıkı Oyuncu,28.50,163.62,0.508,0.115,1.133
Sıkı Oyuncu,26.04,237.38,0.537,0.136,0.990
Sıkı Oyuncu,28.78,187.99,0.698,0.296,1.013
Sıkı Oyuncu,29.58,125.47,0.377,0.156,1.179
Sıkı Oyuncu,28.52,152.97,0.603,0.226,0.938
Sıkı Oyuncu,23.56,175.18,0.569,0.150,1.158
Sıkı Oyuncu,37.90,147.44,0.534,0.163,1.133
Sıkı Oyuncu,19.36,202.65,0.612,0.117,0.956
Sıkı Oyuncu,29.90,161.20,0.571,0.155,1.203
Sıkı Oyuncu,34.66,237.95,0.468,0.247,1.007
Sıkı Oyuncu,25.44,144.19,0.539,0.112,0.985
Sıkı Oyuncu,30.80,155.98,0.584,0.181,1.142
Sıkı Oyuncu,24.78,189.43,0.527,0.291,1.011
Sıkı Oyuncu,28.68,206.85,0.482,0.173,1.157
Sıkı Oyuncu,27.10,132.37,0.559,0.226,0.953
Sıkı Oyuncu,31.11,159.16,0.450,0.157,1.115
Sıkı Oyuncu,30.02,191.71,0.723,0.173,0.992
Sıkı Oyuncu,31.25,155.97,0.574,0.182,1.171
Sıkı Oyuncu,22.05,180.56,0.482,0.167,1.041
Sıkı Oyuncu,21.01,152.38,0.541,0.317,0.780
Sıkı Oyuncu,27.17,199.13,0.486,0.217,1.006
Sıkı Oyuncu,24.25,170.19,0.629,0.171,0.856
Sıkı Oyuncu,23.62,162.14,0.533,0.150,1.005
Sıkı Oyuncu,24.44,102.55,0.403,0.249,1.211
Sıkı Oyuncu,25.96,170.42,0.511,0.255,1.036
Sıkı Oyuncu,32.32,249.89,0.635,0.202,1.225
Sıkı Oyuncu,31.55,157.70,0.581,0.301,1.051
Sıkı Oyuncu,20.42,164.53,0.610,0.173,1.106
Sıkı Oyuncu,28.35,149.04,0.569,0.239,0.910
Sıkı Oyuncu,26.49,174.51,0.571,0.243,0.902
Sıkı Oyuncu,27.59,196.72,0.695,0.198,1.160
Sıkı Oyuncu,26.16,95.18,0.454,0.116,1.100
Sıkı Oyuncu,24.49,158.34,0.441,0.077,1.125
Sıkı Oyuncu,23.61,208.19,0.531,0.243,1.016
Sıkı Oyuncu,20.15,161.14,0.655,0.096,1.028
Sıkı Oyuncu,19.28,98.08,0.565,0.104,0.951
Sıkı Oyuncu,31.23,204.02,0.479,0.241,1.186
Sıkı Oyuncu,21.96,162.02,0.411,0.159,1.086
Sıkı Oyuncu,21.44,168.23,0.584,0.148,1.080
Sıkı Oyuncu,26.08,137.23,0.430,0.268,1.140
Sıkı Oyuncu,29.68,190.28,0.470,0.157,0.926
Sıkı Oyuncu,31.05,175.46,0.570,0.125,0.900
Sıkı Oyuncu,30.68,165.36,0.593,0.219,1.109
Sıkı Oyuncu,16.73,164.28,0.616,0.194,1.065
Sıkı Oyuncu,20.26,183.44,0.691,0.187,1.162
Sıkı Oyuncu,27.67,174.85,0.583,0.150,1.049
Sıkı Oyuncu,35.08,159.02,0.398,0.193,1.117
Sıkı Oyuncu,18.14,170.84,0.527,0.219,1.033
Sıkı Oyuncu,24.07,157.13,0.617,0.132,1.067
Sıkı Oyuncu,24.44,153.20,0.509,0.116,0.963
Sıkı Oyuncu,32.33,145.45,0.481,0.271,1.037
Sıkı Oyuncu,22.89,211.94,0.587,0.142,1.141
Sıkı Oyuncu,20.68,252.78,0.564,0.264,1.217
Sıkı Oyuncu,29.03,188.61,0.377,0.139,1.070
Sıkı Oyuncu,26.80,117.58,0.586,0.219,1.107
Sıkı Oyuncu,28.22,204.37,0.476,0.146,1.116
Sıkı Oyuncu,32.56,144.37,0.506,0.169,1.004
Sıkı Oyuncu,19.44,184.39,0.575,0.146,1.046
Sıkı Oyuncu,24.65,175.79,0.460,0.157,1.109
Sıkı Oyuncu,45.35,190.13,0.559,0.246,1.036
Sıkı Oyuncu,17.73,169.52,0.452,0.162,1.216
Sıkı Oyuncu,22.17,180.25,0.568,0.154,1.032
Sıkı Oyuncu,24.61,178.66,0.516,0.139,1.098
Sıkı Oyuncu,30.01,156.36,0.569,0.119,1.087
Sıkı Oyuncu,28.59,165.83,0.635,0.146,0.967
Sıkı Oyuncu,23.79,140.69,0.578,0.227,1.105
Sıkı Oyuncu,21.03,195.88,0.561,0.237,1.118
Sıkı Oyuncu,26.47,217.76,0.531,0.307,1.110
Sıkı Oyuncu,32.22,186.36,0.664,0.143,1.146
Sıkı Oyuncu,27.53,152.00,0.531,0.235,1.061
Sıkı Oyuncu,28.09,163.07,0.582,0.096,1.067
Sıkı Oyuncu,24.64,226.55,0.366,0.226,1.109
Sıkı Oyuncu,27.56,164.56,0.546,0.136,1.120
Sıkı Oyuncu,30.06,213.85,0.542,0.156,1.227
Sıkı Oyuncu,41.68,138.87,0.656,0.161,0.952
Sıkı Oyuncu,29.90,156.27,0.645,0.120,1.178
Sıkı Oyuncu,31.87,166.73,0.535,0.142,1.112
Sıkı Oyuncu,19.06,200.88,0.433,0.274,1.029
Sıkı Oyuncu,39.33,168.21,0.622,0.180,1.034
Sıkı Oyuncu,36.73,226.61,0.485,0.144,1.202
Sıkı Oyuncu,30.56,150.82,0.374,0.205,1.042
Sıkı Oyuncu,32.37,145.76,0.618,0.133,0.932
Sıkı Oyuncu,23.14,178.52,0.662,0.214,0.910
Sıkı Oyuncu,30.51,172.18,0.452,0.130,1.146
Sıkı Oyuncu,26.25,160.56,0.494,0.154,1.025
Sıkı Oyuncu,27.46,172.70,0.478,0.236,0.978
Sıkı Oyuncu,39.95,150.72,0.482,0.141,1.135
Sıkı Oyuncu,36.01,150.88,0.370,0.199,1.000
Sıkı Oyuncu,36.05,197.38,0.580,0.283,1.098
Sıkı Oyuncu,28.29,77.52,0.599,0.121,1.021
Sıkı Oyuncu,11.58,190.95,0.583,0.135,1.073
Sıkı Oyuncu,27.32,180.68,0.528,0.121,1.130
Sıkı Oyuncu,25.94,196.69,0.489,0.258,0.915
Sıkı Oyuncu,16.30,164.76,0.490,0.122,1.004
Sıkı Oyuncu,25.45,144.59,0.493,0.168,1.059
Sıkı Oyuncu,26.47,186.07,0.432,0.218,1.103
Sıkı Oyuncu,27.50,180.41,0.273,0.180,1.091
Sıkı Oyuncu,26.86,149.35,0.605,0.245,0.991
Sıkı Oyuncu,22.96,205.57,0.434,0.070,1.144
Sıkı Oyuncu,35.27,153.98,0.620,0.198,1.059
Sıkı Oyuncu,25.67,177.65,0.471,0.126,1.081
Sıkı Oyuncu,35.78,155.13,0.628,0.181,0.888
Sıkı Oyuncu,26.23,170.26,0.616,0.120,0.988
Sıkı Oyuncu,26.05,161.93,0.590,0.209,1.125
Sıkı Oyuncu,21.65,171.86,0.615,0.172,1.043
Sıkı Oyuncu,30.54,154.08,0.519,0.160,0.949
Sıkı Oyuncu,28.84,148.16,0.414,0.156,1.007
Sıkı Oyuncu,27.29,162.55,0.625,0.253,1.180
Sıkı Oyuncu,27.63,152.97,0.569,0.283,0.957
Sıkı Oyuncu,27.93,208.58,0.605,0.140,0.960
Sıkı Oyuncu,34.85,129.49,0.607,0.085,1.004
Sıkı Oyuncu,26.99,130.84,0.502,0.110,1.029
Sıkı Oyuncu,28.58,140.74,0.565,0.244,1.078
Sıkı Oyuncu,20.08,172.25,0.477,0.155,1.222
Sıkı Oyuncu,26.78,137.93,0.557,0.221,1.035
Sıkı Oyuncu,29.86,186.63,0.601,0.141,1.045
Sıkı Oyuncu,38.47,161.27,0.434,0.171,1.118
Sıkı Oyuncu,23.72,126.27,0.422,0.229,0.972
Sıkı Oyuncu,24.79,205.71,0.525,0.151,0.983
Sıkı Oyuncu,29.12,170.40,0.581,0.137,1.118
